"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|SE3","9167.00","9212.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|SE3","8968.00","9057.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|SE3","8759.00","8949.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|SE3","8635.00","8812.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|SE3","8549.00","8804.00"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|SE3","8624.00","8898.00"
"01/01/2019 06:00:00 - 01/01/2019 07:00:00","BZN|SE3","8842.00","9107.00"
"01/01/2019 07:00:00 - 01/01/2019 08:00:00","BZN|SE3","9059.00","9426.00"
"01/01/2019 08:00:00 - 01/01/2019 09:00:00","BZN|SE3","9264.00","9520.00"
"01/01/2019 09:00:00 - 01/01/2019 10:00:00","BZN|SE3","9449.00","9679.00"
"01/01/2019 10:00:00 - 01/01/2019 11:00:00","BZN|SE3","9746.00","9876.00"
"01/01/2019 11:00:00 - 01/01/2019 12:00:00","BZN|SE3","9986.00","10047.00"
"01/01/2019 12:00:00 - 01/01/2019 13:00:00","BZN|SE3","10102.00","10175.00"
"01/01/2019 13:00:00 - 01/01/2019 14:00:00","BZN|SE3","10182.00","10215.00"
"01/01/2019 14:00:00 - 01/01/2019 15:00:00","BZN|SE3","10354.00","10474.00"
"01/01/2019 15:00:00 - 01/01/2019 16:00:00","BZN|SE3","10773.00","10966.00"
"01/01/2019 16:00:00 - 01/01/2019 17:00:00","BZN|SE3","11102.00","11395.00"
"01/01/2019 17:00:00 - 01/01/2019 18:00:00","BZN|SE3","11167.00","11434.00"
"01/01/2019 18:00:00 - 01/01/2019 19:00:00","BZN|SE3","11062.00","11379.00"
"01/01/2019 19:00:00 - 01/01/2019 20:00:00","BZN|SE3","10848.00","11252.00"
