"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|SE3","Without sequence","27.38",""
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|SE3","Without sequence","23.37",""
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|SE3","Without sequence","19.33",""
"01/01/2015 03:00:00 - 01/01/2015 04:00:00","BZN|SE3","Without sequence","17.66",""
"01/01/2015 04:00:00 - 01/01/2015 05:00:00","BZN|SE3","Without sequence","17.53",""
"01/01/2015 05:00:00 - 01/01/2015 06:00:00","BZN|SE3","Without sequence","18.07",""
"01/01/2015 06:00:00 - 01/01/2015 07:00:00","BZN|SE3","Without sequence","25.23",""
"01/01/2015 07:00:00 - 01/01/2015 08:00:00","BZN|SE3","Without sequence","26.8",""
"01/01/2015 08:00:00 - 01/01/2015 09:00:00","BZN|SE3","Without sequence","26.97",""
"01/01/2015 09:00:00 - 01/01/2015 10:00:00","BZN|SE3","Without sequence","26.29",""
"01/01/2015 10:00:00 - 01/01/2015 11:00:00","BZN|SE3","Without sequence","26.06",""
"01/01/2015 11:00:00 - 01/01/2015 12:00:00","BZN|SE3","Without sequence","25.56",""
"01/01/2015 12:00:00 - 01/01/2015 13:00:00","BZN|SE3","Without sequence","25.91",""
"01/01/2015 13:00:00 - 01/01/2015 14:00:00","BZN|SE3","Without sequence","25.42",""
"01/01/2015 14:00:00 - 01/01/2015 15:00:00","BZN|SE3","Without sequence","26.78",""
"01/01/2015 15:00:00 - 01/01/2015 16:00:00","BZN|SE3","Without sequence","27.51",""
"01/01/2015 16:00:00 - 01/01/2015 17:00:00","BZN|SE3","Without sequence","28.32",""
"01/01/2015 17:00:00 - 01/01/2015 18:00:00","BZN|SE3","Without sequence","28.36",""
"01/01/2015 18:00:00 - 01/01/2015 19:00:00","BZN|SE3","Without sequence","28.18",""
"01/01/2015 19:00:00 - 01/01/2015 20:00:00","BZN|SE3","Without sequence","27.81",""
"01/01/2015 20:00:00 - 01/01/2015 21:00:00","BZN|SE3","Without sequence","27.46",""
"01/01/2015 21:00:00 - 01/01/2015 22:00:00","BZN|SE3","Without sequence","27.06",""
"01/01/2015 22:00:00 - 01/01/2015 23:00:00","BZN|SE3","Without sequence","26.4",""
"01/01/2015 23:00:00 - 02/01/2015 00:00:00","BZN|SE3","Without sequence","18.36",""
"02/01/2015 00:00:00 - 02/01/2015 01:00:00","BZN|SE3","Without sequence","17.78",""
"02/01/2015 01:00:00 - 02/01/2015 02:00:00","BZN|SE3","Without sequence","9.62",""
"02/01/2015 02:00:00 - 02/01/2015 03:00:00","BZN|SE3","Without sequence","7.67",""
"02/01/2015 03:00:00 - 02/01/2015 04:00:00","BZN|SE3","Without sequence","10.83",""
"02/01/2015 04:00:00 - 02/01/2015 05:00:00","BZN|SE3","Without sequence","23.14",""
"02/01/2015 05:00:00 - 02/01/2015 06:00:00","BZN|SE3","Without sequence","26.1",""
"02/01/2015 06:00:00 - 02/01/2015 07:00:00","BZN|SE3","Without sequence","27.25",""
"02/01/2015 07:00:00 - 02/01/2015 08:00:00","BZN|SE3","Without sequence","28.37",""
"02/01/2015 08:00:00 - 02/01/2015 09:00:00","BZN|SE3","Without sequence","28.37",""
"02/01/2015 09:00:00 - 02/01/2015 10:00:00","BZN|SE3","Without sequence","28.32",""
"02/01/2015 10:00:00 - 02/01/2015 11:00:00","BZN|SE3","Without sequence","28.3",""
"02/01/2015 11:00:00 - 02/01/2015 12:00:00","BZN|SE3","Without sequence","28.39",""
"02/01/2015 12:00:00 - 02/01/2015 13:00:00","BZN|SE3","Without sequence","28.3",""
"02/01/2015 13:00:00 - 02/01/2015 14:00:00","BZN|SE3","Without sequence","28.24",""
"02/01/2015 14:00:00 - 02/01/2015 15:00:00","BZN|SE3","Without sequence","28.12",""
"02/01/2015 15:00:00 - 02/01/2015 16:00:00","BZN|SE3","Without sequence","28.23",""
"02/01/2015 16:00:00 - 02/01/2015 17:00:00","BZN|SE3","Without sequence","28.59",""
